Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_z1
2000,1,1,1,2000,8,168,2022,24,1,6,11,1,2023-06-10T23:40:00+08:00,187
,2,0.9,0.04,1800,,,505,3,2,6,11,2,2023-06-11T00:40:00+08:00,178
,3,0.55,0.024,1100,,,168,4,3,6,11,3,2023-06-11T01:40:00+08:00,174
,4,0.2,0.003,400,,,2527,45,4,6,11,4,2023-06-11T02:40:00+08:00,167
,,,,,,,1516,8,5,6,11,5,2023-06-11T03:40:00+08:00,161
,,,,,,,842,46,6,6,11,6,2023-06-11T04:40:00+08:00,157
,,,,,,,337,39,7,6,11,7,2023-06-11T05:40:00+08:00,155
,,,,,,,843,5,8,6,11,8,2023-06-11T06:40:00+08:00,156
,,,,,,,,,9,6,11,9,2023-06-11T07:40:00+08:00,147
,,,,,,,,,10,6,11,10,2023-06-11T08:40:00+08:00,147
,,,,,,,,,11,6,11,11,2023-06-11T09:40:00+08:00,151
,,,,,,,,,12,6,11,12,2023-06-11T10:40:00+08:00,158
,,,,,,,,,13,6,11,13,2023-06-11T11:40:00+08:00,159
,,,,,,,,,14,6,11,14,2023-06-11T12:40:00+08:00,158
,,,,,,,,,15,6,11,15,2023-06-11T13:40:00+08:00,160
,,,,,,,,,16,6,11,16,2023-06-11T14:40:00+08:00,164
,,,,,,,,,17,6,11,17,2023-06-11T15:40:00+08:00,169
,,,,,,,,,18,6,11,18,2023-06-11T16:40:00+08:00,171
,,,,,,,,,19,6,11,19,2023-06-11T17:40:00+08:00,170
,,,,,,,,,20,6,11,20,2023-06-11T18:40:00+08:00,171
,,,,,,,,,21,6,11,21,2023-06-11T19:40:00+08:00,192
,,,,,,,,,22,6,11,22,2023-06-11T20:40:00+08:00,193
,,,,,,,,,23,6,11,23,2023-06-11T21:40:00+08:00,191
,,,,,,,,,24,6,11,24,2023-06-11T22:40:00+08:00,188
,,,,,,,,,25,6,12,1,2023-06-11T23:40:00+08:00,183
,,,,,,,,,26,6,12,2,2023-06-12T00:40:00+08:00,175
,,,,,,,,,27,6,12,3,2023-06-12T01:40:00+08:00,167
,,,,,,,,,28,6,12,4,2023-06-12T02:40:00+08:00,160
,,,,,,,,,29,6,12,5,2023-06-12T03:40:00+08:00,156
,,,,,,,,,30,6,12,6,2023-06-12T04:40:00+08:00,153
,,,,,,,,,31,6,12,7,2023-06-12T05:40:00+08:00,153
,,,,,,,,,32,6,12,8,2023-06-12T06:40:00+08:00,155
,,,,,,,,,33,6,12,9,2023-06-12T07:40:00+08:00,150
,,,,,,,,,34,6,12,10,2023-06-12T08:40:00+08:00,156
,,,,,,,,,35,6,12,11,2023-06-12T09:40:00+08:00,164
,,,,,,,,,36,6,12,12,2023-06-12T10:40:00+08:00,171
,,,,,,,,,37,6,12,13,2023-06-12T11:40:00+08:00,176
,,,,,,,,,38,6,12,14,2023-06-12T12:40:00+08:00,174
,,,,,,,,,39,6,12,15,2023-06-12T13:40:00+08:00,176
,,,,,,,,,40,6,12,16,2023-06-12T14:40:00+08:00,182
,,,,,,,,,41,6,12,17,2023-06-12T15:40:00+08:00,187
,,,,,,,,,42,6,12,18,2023-06-12T16:40:00+08:00,189
,,,,,,,,,43,6,12,19,2023-06-12T17:40:00+08:00,184
,,,,,,,,,44,6,12,20,2023-06-12T18:40:00+08:00,184
,,,,,,,,,45,6,12,21,2023-06-12T19:40:00+08:00,203
,,,,,,,,,46,6,12,22,2023-06-12T20:40:00+08:00,206
,,,,,,,,,47,6,12,23,2023-06-12T21:40:00+08:00,204
,,,,,,,,,48,6,12,24,2023-06-12T22:40:00+08:00,200
,,,,,,,,,49,6,13,1,2023-06-12T23:40:00+08:00,194
,,,,,,,,,50,6,13,2,2023-06-13T00:40:00+08:00,184
,,,,,,,,,51,6,13,3,2023-06-13T01:40:00+08:00,176
,,,,,,,,,52,6,13,4,2023-06-13T02:40:00+08:00,169
,,,,,,,,,53,6,13,5,2023-06-13T03:40:00+08:00,163
,,,,,,,,,54,6,13,6,2023-06-13T04:40:00+08:00,161
,,,,,,,,,55,6,13,7,2023-06-13T05:40:00+08:00,163
